;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos
126;2020;1;eleicao ordinaria;SP;3503158;61646;prefeito;PSDB;45;250000650320;1720056;eleito;1104;1797;0.61436;0.22872000000000003
127;2020;1;eleicao ordinaria;SP;3503158;61646;prefeito;SOLIDARIEDADE;77;250000928482;1656823;nao eleito;693;1797;0.38564;0.22872000000000003
128;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PATRIOTA;51;250000633660;1205491;nao eleito;37774;105025;0.35967;0.10122000000000003
129;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PCO;29;250001260562;49650;nao eleito;113;105025;0.00108;0.10122000000000003
130;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PRTB;28;250001201468;113483;nao eleito;1663;105025;0.01583;0.10122000000000003
131;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PSB;40;250000756312;1189381;nao eleito;2803;105025;0.02669;0.10122000000000003
132;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PSL;17;250000925333;599393;nao eleito;8033;105025;0.07649;0.10122000000000003
133;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PSOL;50;250000645781;17683;nao eleito;2391;105025;0.02277;0.10122000000000003
134;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PT;13;250000641979;900306;eleito;48405;105025;0.46089;0.10122000000000003
135;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;PTB;14;250001201479;238314;nao eleito;741;105025;0.00706;0.10122000000000003
136;2020;1;eleicao ordinaria;SP;3503208;61638;prefeito;REPUBLICANOS;10;250000811503;1191854;nao eleito;3102;105025;0.02954;0.10122000000000003
137;2020;1;eleicao ordinaria;SP;3503307;61654;prefeito;DEM;25;250000917610;1225834;nao eleito;11923;60013;0.19867;0.1381
138;2020;1;eleicao ordinaria;SP;3503307;61654;prefeito;PRTB;28;250000917741;1335685;nao eleito;2595;60013;0.04324;0.1381
139;2020;1;eleicao ordinaria;SP;3503307;61654;prefeito;PSDB;45;250000784848;1691226;eleito;25697;60013;0.42819;0.1381
140;2020;1;eleicao ordinaria;SP;3503307;61654;prefeito;PT;13;250000984183;1340998;nao eleito;2389;60013;0.03981;0.1381
141;2020;1;eleicao ordinaria;SP;3503307;61654;prefeito;PTB;14;250001159064;105223;nao eleito;17409;60013;0.29009;0.1381
