;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos;Aderencia;Governismo;RDD
516;2020;1;eleicao ordinaria;SP;3545605;70130;prefeito;DEM;25;250000986384;19655;eleito;4205;8215;0.51187;0.02374000000000004;93;1;1
517;2020;1;eleicao ordinaria;SP;3520202;65056;prefeito;PSDB;45;250000892611;1646769;nao eleito;3270;6705;0.4877;0.024599999999999955;92;0;1
518;2020;1;eleicao ordinaria;SP;3520202;65056;prefeito;PL;22;250000791227;651794;eleito;3435;6705;0.5123;0.024599999999999955;90;1;1
519;2020;1;eleicao ordinaria;SP;3540309;69078;prefeito;PSDB;45;250001114586;1657793;eleito;936;1926;0.48598;0.06853000000000004;92;0;1
520;2020;1;eleicao ordinaria;SP;3540309;69078;prefeito;PTB;14;250000834823;1212691;nao eleito;804;1926;0.41745;0.06853000000000004;90;1;1
521;2020;1;eleicao ordinaria;SP;3526209;66257;prefeito;PSDB;45;250000829372;1739825;nao eleito;8205;17012;0.48231;0.014399999999999968;92;0;1
522;2020;1;eleicao ordinaria;SP;3526209;66257;prefeito;PL;22;250001006454;402305;eleito;8450;17012;0.49671;0.014399999999999968;90;1;1
525;2020;1;eleicao ordinaria;SP;3527256;62022;prefeito;PSDB;45;250001058417;550452;eleito;773;1615;0.47864;0.18081000000000003;92;0;1
526;2020;1;eleicao ordinaria;SP;3527256;62022;prefeito;DEM;25;250000983861;1199222;nao eleito;481;1615;0.29783;0.18081000000000003;93;1;1
527;2020;1;eleicao ordinaria;SP;3541653;62162;prefeito;PSDB;45;250000710141;903821;nao eleito;1283;2697;0.47571;0.04858000000000001;92;0;1
528;2020;1;eleicao ordinaria;SP;3541653;62162;prefeito;DEM;25;250001265831;903803;eleito;1414;2697;0.52429;0.04858000000000001;93;1;1
529;2020;1;eleicao ordinaria;SP;3513900;63797;prefeito;PSDB;45;250000867441;1713681;nao eleito;3392;7148;0.47454;0.05092000000000002;92;0;1
530;2020;1;eleicao ordinaria;SP;3513900;63797;prefeito;PTB;14;250001124735;746461;eleito;3756;7148;0.52546;0.05092000000000002;90;1;1
531;2020;1;eleicao ordinaria;SP;3514957;61182;prefeito;PSDB;45;250001073543;904982;eleito;997;2114;0.47162;0.12157000000000001;92;0;1
532;2020;1;eleicao ordinaria;SP;3514957;61182;prefeito;DEM;25;250000886008;82915;nao eleito;740;2114;0.35005;0.12157000000000001;93;1;1
533;2020;1;eleicao ordinaria;SP;3504206;61832;prefeito;PSDB;45;250001053275;1376732;nao eleito;3964;8472;0.46789;0.047219999999999984;92;0;1
534;2020;1;eleicao ordinaria;SP;3504206;61832;prefeito;MDB;15;250001050673;1169396;eleito;4364;8472;0.51511;0.047219999999999984;91;1;1
535;2020;1;eleicao ordinaria;SP;3506904;62375;prefeito;PSDB;45;250000855137;1208636;nao eleito;2740;5876;0.4663;0.06739999999999996;92;0;1
536;2020;1;eleicao ordinaria;SP;3506904;62375;prefeito;PSD;55;250000669795;1358642;eleito;3136;5876;0.5337;0.06739999999999996;90;1;1
537;2020;1;eleicao ordinaria;SP;3514205;63851;prefeito;PSDB;45;250000685641;166924;nao eleito;871;1871;0.46553;0.06894;92;0;1
538;2020;1;eleicao ordinaria;SP;3514205;63851;prefeito;MDB;15;250001058029;;eleito;1000;1871;0.53447;0.06894;91;1;1
539;2020;1;eleicao ordinaria;SP;3511904;63398;prefeito;PSDB;45;250001104523;360160;eleito;2026;4356;0.46511;0.06153000000000003;92;0;1
540;2020;1;eleicao ordinaria;SP;3511904;63398;prefeito;PV;43;250001105757;962747;nao eleito;1758;4356;0.40358;0.06153000000000003;68;1;1
541;2020;1;eleicao ordinaria;SP;3521507;65315;prefeito;PSDB;45;250000756481;1235242;nao eleito;1950;4202;0.46406;0.016900000000000026;92;0;1
542;2020;1;eleicao ordinaria;SP;3521507;65315;prefeito;DEM;25;250000685015;1726469;eleito;2021;4202;0.48096;0.016900000000000026;93;1;1
543;2020;1;eleicao ordinaria;SP;3546504;70319;prefeito;PSDB;45;250000982838;1541591;nao eleito;1898;4099;0.46304;0.02073999999999998;92;0;1
544;2020;1;eleicao ordinaria;SP;3546504;70319;prefeito;CIDADANIA;23;250000741918;1511417;eleito;1983;4099;0.48378;0.02073999999999998;87;1;1
545;2020;1;eleicao ordinaria;SP;3546207;70254;prefeito;PSDB;45;250001159878;1728179;nao eleito;1532;3349;0.45745;0.08509999999999995;92;0;1
546;2020;1;eleicao ordinaria;SP;3546207;70254;prefeito;PSD;55;250000897390;1760051;eleito;1817;3349;0.54255;0.08509999999999995;90;1;1
547;2020;1;eleicao ordinaria;SP;3525003;66010;prefeito;PSDB;45;250000859863;957667;eleito;23586;51576;0.45731;0.10966999999999999;92;0;1
548;2020;1;eleicao ordinaria;SP;3525003;66010;prefeito;PTB;14;250000887213;1301488;nao eleito;17930;51576;0.34764;0.10966999999999999;90;1;1
551;2020;1;eleicao ordinaria;SP;3545407;70092;prefeito;PSDB;45;250000751001;1421958;nao eleito;2235;4933;0.45307;0.05615000000000003;92;0;1
552;2020;1;eleicao ordinaria;SP;3545407;70092;prefeito;PL;22;250000640201;1118781;eleito;2512;4933;0.50922;0.05615000000000003;90;1;1
553;2020;1;eleicao ordinaria;SP;3533304;67679;prefeito;PSDB;45;250001002920;1132718;nao eleito;1039;2294;0.45292;0.08718000000000004;92;0;1
